model,dataset,feature_set,train_accuracy,train_balanced_accuracy,train_precision,train_recall,train_f1,train_auc,val_accuracy,val_balanced_accuracy,val_precision,val_recall,val_f1,val_auc,test_accuracy,test_balanced_accuracy,test_precision,test_recall,test_f1,test_auc
rf,master-large,1,0.9202940084719857,0.9202239433984387,0.9310271052269636,0.9210661586840833,0.9260198459242897,0.9775461629931738,0.6761969927937915,0.6738721469384639,0.6969117811011833,0.7044854456465739,0.7006781479435383,0.7385676716267546,0.6787032480314961,0.6761794540022292,0.7024067326935906,0.7063139861294584,0.7043549407968878,0.7409011756098255
xgb,master-large,1,0.7339894755229486,0.7326935263059702,0.7575870443691579,0.7482714481535236,0.7529004320223921,0.8081828482556025,0.7235137195121951,0.7223042060830492,0.7453833149099421,0.7382309376609995,0.7417898857863914,0.7951526435439341,0.7276446179312813,0.7263412495742858,0.7521147095903453,0.7419036905548216,0.7469743059542334,0.7978024913896185
lr,master-mini,2,0.6037318511796733,0.5751454786817378,0.6026197659871956,0.837663666121113,0.7009629788144661,0.6021330758975595,0.597070596797671,0.5660168680657092,0.6029254370317517,0.823051948051948,0.6959983526666209,0.5940241631816031,0.5890831916607016,0.566971498436468,0.585079366232747,0.830988895310436,0.6866822305371667,0.5989578839022386
rf,master-mini,2,0.96809777676951,0.9679305756480812,0.9728994508032643,0.9694660392798691,0.9711797105162034,0.9949445822810798,0.6492903930131004,0.6397789090049024,0.6760348251107378,0.7185064935064935,0.6966239080821595,0.6999066356863335,0.6436728256979242,0.6374409281278381,0.6583390600542129,0.7118508503963011,0.6840500228097666,0.6950722006069622
xgb,master-mini,2,0.7306885208711433,0.7186161983626721,0.7246325007819132,0.8294803600654664,0.7735196623184604,0.8068916495538765,0.6743995633187773,0.6597499354949686,0.6832836244851583,0.7810064935064935,0.7288841754412545,0.7353078032274016,0.6714611667859699,0.6614720051008298,0.6685667320642664,0.7807443031704095,0.7203142109021662,0.7326460151250327
lr,master-small,2,0.5969029374201787,0.5741436780957011,0.5994149934999278,0.8035921766072812,0.6866468106229834,0.6059876184036934,0.592067480258435,0.5743437662001036,0.5885829170220543,0.8050833333333334,0.6800168930808757,0.5984663442846034,0.5929810531496063,0.5735618399817846,0.5913625290308893,0.8054305647291942,0.681992856128546,0.6045128529736357
rf,master-small,2,0.9569364623243933,0.9568563910905659,0.963752405544323,0.9576636328427576,0.960698371841725,0.991469345004184,0.6351399856424982,0.6305546267496112,0.6523074499921248,0.69025,0.6707425702486032,0.6887504374027993,0.6421377281675018,0.6370253488598601,0.6607049538219594,0.6980680317040951,0.6788727941527012,0.6958087535798942
xgb,master-small,2,0.7086659216687953,0.698418503519348,0.7072754062653483,0.8017283113865221,0.7515458186315108,0.7820400120351845,0.6676238334529792,0.6591057542768274,0.6653225806451613,0.77,0.7138442521631644,0.7319689322511664,0.6744726422691482,0.6654436159322882,0.6740072056025584,0.7732517338177014,0.720226665929698,0.7386996644176297
lr,master-medium,2,0.5927942336342126,0.575868985322912,0.5974379428464174,0.7695841392649904,0.6726720380398891,0.6048830631928039,0.594088319088319,0.5756254177674638,0.6028252635889036,0.7640114167099118,0.6739142873490874,0.6055037750330609,0.5929307220830351,0.5766850339216789,0.5962353035111883,0.7706613276089829,0.6723192962948791,0.6051155486698981
rf,master-medium,2,0.9473534309000088,0.9472368185443094,0.9543206373016034,0.9485714861379755,0.9514373768504016,0.9888498479909695,0.6404380341880341,0.6359201116330393,0.6693191584174173,0.6820186818889465,0.6756092467348873,0.6943874928657856,0.6423698103078024,0.6380224714190987,0.6634923628135018,0.6899304408850726,0.6764531780443505,0.6977196363665784
xgb,master-medium,2,0.6942916922267987,0.6858556941447417,0.694175061002315,0.7824085267569311,0.735655592128632,0.7654168073772534,0.6773682336182336,0.668035119758094,0.6850347858993392,0.7632654385054489,0.7220372785149958,0.74212897746793,0.6786920633500358,0.6705435023440081,0.6803264447695684,0.767838713672391,0.7214384066402917,0.7431757084759569
lr,master-large,2,0.5936012489628368,0.5789696839108869,0.5990529439525192,0.7548480083857443,0.6679867103708164,0.6064070614411259,0.5923382067627494,0.5790581499233384,0.5956927147600208,0.7539283874291602,0.6655344186806705,0.6045795052132348,0.5933753131710809,0.5786805569889366,0.5991505481260403,0.7541384577278731,0.6677693653847032,0.6050207382149237
rf,master-large,2,0.9380349578584217,0.9378132439145996,0.9448542627573882,0.9404783502660861,0.9426612282008865,0.9854546217827669,0.6382518015521065,0.6346661888642364,0.658064014916097,0.6818811179804225,0.6697608956923271,0.6906837940878787,0.6445480270221904,0.6408068436455066,0.6675074996608193,0.6854772126816381,0.6763730234902661,0.6997098327785376
xgb,master-large,2,0.6881987204681427,0.6804397850972141,0.6888895868762424,0.7737058538945332,0.728838462360104,0.7574716984868379,0.6732694706208425,0.665805725060552,0.6729005090104779,0.7640874549201443,0.7156007569303608,0.7360549160212393,0.6803082498210451,0.6727007927636331,0.6835324334562118,0.7635351304491413,0.7213222640920769,0.7457161546855811
