n_loss,i_loss,val_n_loss,val_i_loss,val_kid
0.03443469852209091,0.1260296255350113,0.03353177383542061,0.11071546375751495,0.1900939643383026
0.03435444086790085,0.12522728741168976,0.03334199637174606,0.1106669083237648,0.18541967868804932
0.034308984875679016,0.12470553815364838,0.03353108465671539,0.10968980938196182,0.17981740832328796
0.03432803601026535,0.123984195291996,0.0333038866519928,0.11107678711414337,0.18790856003761292
0.03433644771575928,0.12324797362089157,0.03354424238204956,0.10989994555711746,0.18165470659732819
0.0341629721224308,0.123581662774086,0.033509399741888046,0.1109362319111824,0.17295262217521667
0.03420575335621834,0.1233643963932991,0.03341057151556015,0.10881098359823227,0.1806209236383438
0.034190285950899124,0.12277757376432419,0.033296242356300354,0.10887853801250458,0.1772741675376892
0.034023985266685486,0.12341219931840897,0.03329314664006233,0.11053241044282913,0.17759966850280762
0.0339815616607666,0.1231716126203537,0.03347119688987732,0.10890129208564758,0.18198032677173615
