IMIĘ_PIERWSZE,LICZBA_WYSTĄPIEŃ
MATTHEW,1837
DANIIL,1819
PATRYCJUSZ,1797
AUGUST,1788
HRYHORII,1781
MAKS,1781
VLADIMIR,1773
NIKITA,1770
DZIANIS,1757
KSAWIER,1753
ANDREAS,1746
ION,1743
PHILIP,1739
CHRISTOPHER,1704
YEHOR,1694
JOHN,1663
ANTHONY,1645
BENON,1618
ALEKSANDR,1586
MYKHAYLO,1580
MARCO,1556
HILARY,1550
EUZEBIUSZ,1545
ZENOBIUSZ,1514
RAFAEL,1513
IDZI,1494
ALI,1493
SIMON,1471
HERMAN,1470
MOHAMED,1462
MYROSLAV,1452
OREST,1449
CYRYL,1448
RAMAN,1432
VITALIY,1427
VALERY,1423
SVIATOSLAV,1421
VADZIM,1402
KURT,1397
KASJAN,1394
VINCENT,1388
SERHIY,1380
JONATHAN,1364
JAROMIR,1356
RICHARD,1351
ZBYSZEK,1345
BRIAN,1343
ARTSIOM,1330
NICHOLAS,1325
SERGHEI,1324
ANTONIO,1294
KLAUS,1278
LIUBOMYR,1277
REINHOLD,1274
KOSMA,1273
ALEXANDR,1267
WILLIAM,1244
ANATOLI,1232
DONAT,1228
RADOMIR,1214
WOLFGANG,1191
ENGELBERT,1172
LUBOMIR,1164
ILYA,1160
LEONARDO,1154
BAZYL,1150
NARCYZ,1147
MIHAIL,1140
ROGER,1139
LUCAS,1138
LUKAS,1134
DENNIS,1134
ZBYSZKO,1122
MARKUS,1101
DAVYD,1099
WALERY,1093
ERIC,1091
JAMES,1079
MIKITA,1069
RAJNOLD,1067
ANDREW,1064
FRANK,1053
DIETER,1052
WITALIS,1049
TELESFOR,1046
AARON,1043
DAVIT,1027
JORDAN,1024
MARIO,1016
ERIK,1015
RUFIN,1007
DIEGO,1006
YAN,1002
FELICJAN,991
AHMED,989
KIRYL,987
MAXIM,987
SERGIY,985
DOMINIC,981
FEDIR,968
ARTHUR,968
JANUARY,968
LUDOMIR,966
ALEXANDRU,959
JOSEPH,950
OTTO,946
MARKO,936
PASCAL,935
BOGUSZ,931
JUAN,918
DYONIZY,916
CARLOS,905
HANS,904
BRAYAN,894
LIAM,885
VIACHASLAU,881
OSWALD,876
KRYSTYN,873
TYMOFII,865
LUCA,864
FRANCESCO,862
VASILI,859
MATTEO,857
EDGAR,852
VADIM,851
ANASTAZY,847
VASILE,846
SERGEI,841
JOSE,840
ALLAN,834
WASYL,832
ARSEN,830
ALESSANDRO,820
IRAKLI,817
MEHMET,815
BRYAN,811
IVO,810
DMITRII,809
NICOLAE,808
LUIS,807
VLADISLAV,804
AMIR,803
NATHANIEL,796
ALEXANDRE,796
AURELIUSZ,795
MATVII,792
JUSTYN,791
MANUEL,790
EWARYST,788
OMAR,780
TYMUR,780
SERAFIN,770
APOLONIUSZ,764
MOHAMMAD,762
RYAN,757
HEINZ,756
HEORHII,755
JOSHUA,750
MUHAMMAD,741
GWIDON,740
JAKOB,739
GNIEWOMIR,736
ANATOLIY,735
ROBERTO,734
NOAH,729
IAN,721
ZACHARIASZ,720
FELIX,715
STANISLAU,714
IEVGEN,713
AMBROŻY,707
MUSTAFA,706
JUREK,705
SERGEY,704
COLIN,701
KARIM,701
MAXYMILIAN,699
GEORGE,695
HENRY,695
SERGIU,695
CELESTYN,686
EUSTACHY,676
KAI,674
IAROSLAV,667
KANSTANTSIN,667
DUMITRU,667
OTTON,666
JOSEF,661
POLIKARP,659
JUSTIN,656
CRISTIAN,655
ANDREA,655
ARMIN,651
MATTHIAS,649
GHEORGHE,649
RICARDO,645
REINHARD,643
PHILIPP,640
MEDARD,636
GEORG,636
MOHAMMED,636
CHRYSTIAN,636
PABLO,632
SAMIR,628
BORIS,628
DAMAZY,627
WIACZESŁAW,627
GIUSEPPE,627
YAHOR,626
HARALD,625
ALEKSEI,624
ZACHARY,621
HENADZI,619
RONALD,617
MICHAL,614
TRISTAN,609
CONSTANTIN,608
RUSTAM,601
LEVAN,600
BARTEK,598
CEZARIUSZ,592
KARL,590
IBRAHIM,590
IWAN,590
ANGELO,588
TIMUR,587
JORGE,583
LASHA,579
GOTFRYD,577
ILIA,575
ALEJANDRO,574
KRISTIAN,573
MYRON,568
JOEL,566
MIGUEL,564
SERGIO,562
DITER,561
TOBIAS,560
SATURNIN,559
VALENTIN,559
GIOVANNI,559
TOM,558
RUBEN,557
DYLAN,556
WIEŃCZYSŁAW,553
ALBERTO,550
VALERIY,550
AXEL,547
ZAKHAR,545
MICHEL,545
OSTAP,543
MAMUKA,542
KASPIAN,537
SYLWERIUSZ,535
GUY,530
STEVEN,530
FABIO,530
ANDREY,528
RAJNARD,526
CHRISTOPH,526
JURAND,526
DAN,525
MARC,525
MARCUS,523
JEAN,521
KONSTANTIN,519
FERNANDO,515
CASPER,514
EDUARDO,514
ZURAB,514
JOHANNES,511
OLEKSIY,510
ERICH,507
PEDRO,506
YAUHEN,505
DAVIDE,498
MODEST,496
PATRIK,495
LUKA,495
TOMAS,493
WAWRZYN,490
NICOLAI,489
MIKE,485
MAKARY,482
HELIODOR,481
ZAZA,481
AHMET,480
FRANCISCO,478
LOUIS,475
CHARLES,475
GNIEWKO,473
JANISŁAW,471
DMITRY,470
TYCJAN,470
GÜNTER,469
TIMOTHY,467
HLIB,466
FEDERICO,466
WINICJUSZ,464
DANYIL,464
SEMEN,464
WILLI,459
GOCHA,458
HARRY,458
EMMANUEL,456
ERHARD,455
AMIT,454
VEACESLAV,453
ETHAN,453
NICO,452
PETR,452
VITALIE,451
STEPHEN,448
JASON,446
JAVIER,445
RAYAN,440
MICHELE,439
SANTIAGO,437
AHMAD,436
ARMEN,435
RADZISŁAW,434
KRZESIMIR,433
ALEKSANDRE,431
ALEXEI,431
PHILIPPE,430
ISMAIL,426
LORENZO,422
PAOLO,422
JACK,421
OKTAWIUSZ,420
HASAN,419
LEV,415
JURIJ,409
DMITRI,408
PETRU,408
FRANEK,407
RODION,406
ROBIN,402
NOEL,402
BASTIAN,402
OMER,402
SAMBOR,402
MAKAR,397
ALEXEY,394
EGON,393
WITALIJ,392
SŁAWEK,391
KIRILL,390
MURAT,388
WITOSŁAW,387
ONUFRY,387
NIKOLAI,387
MIROSLAV,385
DMYTRII,384
EVGENII,383
BEN,383
XAWERY,381
ERAZM,380
WADIM,379
MARCELO,379
VALIANTSIN,377
PHILLIP,375
MARTYN,374
BEKA,374
SVEN,373
ARMAND,373
GEORGIOS,373
IURIE,372
CLAUDIO,372
SEAN,370
TYBERIUSZ,369
NIKO,367
BRANDON,366
ANDRÉ,364
ELIAS,364
LOTAR,364
IEVGENII,363
GREGORY,363
JOHANN,363
ABDUL,363
ANATOLIUSZ,363
LEANID,362
NIKA,358
LARS,357
SYLWIUSZ,356
JOSÉ,356
NAPOLEON,355
SIMONE,354
DOBROSŁAW,352
JÜRGEN,349
DOBIESŁAW,347
NORMAN,346
NIKOLAY,345
MAXIME,344
RAJNHOLD,344
WENANCJUSZ,343
PIERRE,343
FRANZ,343
NESTOR,342
VALERIU,342
WENDELIN,342
WILIBALD,340
LEW,340
DOBROMIR,338
GABRYEL,337
ROY,336
ALON,336
GELA,331
YUVAL,331
KAREN,331
KIRIL,329
MARIUS,328
WINCENT,328
GILBERT,328
STEFANO,327
DENIZ,327
RAPHAEL,326
THEO,323
ARSENII,323
JONAS,322
ARTSEM,319
ANATOLIE,319
ARKADII,319
URBAN,318
DAVITI,317
JEREMY,315
TORNIKE,315
IDO,315
TOMER,314
OLEKSANDER,314
MATHIAS,311
JÓZEFAT,311
RICCARDO,310
GENNADII,309
ARIAN,308
YARASLAU,308
ANDRE,308
MELCHIOR,305
RENE,305
ANTOINE,305
GABRIELE,304
MIKHEIL,303
DEMIAN,303
EMRE,303
CONRAD,302
BERNHARD,302
DAMIR,301
ALEKSANDAR,300
DANIL,299
EUSTACHIUSZ,299
ANZELM,298
TIM,298
ABRAHAM,297
EYAL,296
LUCJUSZ,295
RAUL,294
PAATA,293
JAREMA,293
SAMI,293
MATEO,291
SŁAWOJ,291
TOMÁŠ,291
NATANAEL,290
DASTIN,290
HEINRICH,289
DARIO,289
DANIELE,288
NIKOLOZ,288
TEO,288
HLEB,287
VYACHESLAV,286
RALF,285
JENS,285
VALERI,285
PAULIN,284
ABDULLAH,283
OLEK,283
NIKOLA,281
KOBA,280
GREGOR,280
MAHMOUD,280
GUSTAVO,279
SIERGIEJ,279
TAL,279
YUSUF,278
VASIL,278
ALEK,278
RAINER,277
BERTOLD,277
LEVANI,276
NOAM,276
HUGON,276
SOBIESŁAW,275
YOAV,275
BALTAZAR,275
FAUSTYN,275
GERWAZY,274
BERND,273
ROŚCISŁAW,272
ZINOVII,269
MOSHE,268
BOŻYDAR,268
ARMAN,268
ANDRES,267
CHRISTOS,267
FELIPE,267
RADEK,265
GAWEŁ,263
MOHAMAD,263
RODRIGO,263
ERNST,263
KAJ,262
VIOREL,262
LUIGI,262
MARIN,262
UWE,262
DIMITRIOS,261
GEORGI,261
ELDAR,261
STANISLAW,259
FRANCIS,259
JOZEF,258
NIKOLAOS,258
GNIEWOSZ,258
YEVGEN,257
ITAY,257
YAKIV,257
MAGOMED,255
PAULO,255
ANTONY,253
JOÃO,253
SYLWIN,253
DIMITRI,252
SHOTA,252
SALVATORE,252
SANDRO,251
MIŁOSŁAW,251
GIA,250
JANUARIUSZ,249
CHRISTOPHE,249
MALKHAZ,248
NICOLA,247
JULIEN,245
ULRICH,245
MASSIMO,245
ENRICO,243
YOSYP,243
ARTIOM,243
STANLEY,242
EUGEN,241
LUKE,241
VAN,240
PIETRO,239
MARCOS,239
BRAIAN,239
KONSTANTINOS,238
GORAN,237
EGOR,237
MERT,236
LOTHAR,236
ORI,236
RON,236
EMIR,235
ISRAEL,235
KYRYL,235
DARIUS,234
ANDRIAN,234
SHALVA,234
BADRI,234
TSIMAFEI,233
ANDREJ,233
MATIAS,233
ANGEL,232
VINCENZO,231
DONALD,230
DIRK,230
VASILII,230
HASSAN,229
