IMIĘ_PIERWSZE,LICZBA_WYSTĄPIEŃ
OLA,2139
PRAKSEDA,2127
VITA,2124
TOLA,2102
MARHARYTA,2078
LIDIIA,2054
LEA,2053
SARAH,2051
BERNARDYNA,1972
OTOLIA,1959
EUFEMIA,1953
MIRIAM,1915
ANTONIA,1906
JAŚMINA,1890
ERIKA,1887
INES,1870
KRISTINA,1866
ULIANA,1855
MYROSLAVA,1846
IZA,1841
ROMA,1834
GALYNA,1827
ZHANNA,1811
EVA,1793
NATALIE,1776
AUGUSTYNA,1775
ARLETTA,1765
MARIETTA,1752
EMA,1744
ANHELINA,1741
ANZHELA,1718
GRETA,1714
MANUELA,1709
DARYNA,1695
KLAUDYNA,1687
ANA,1686
BENEDYKTA,1681
BLANDYNA,1666
LUBOMIRA,1623
MILA,1619
WINCENTYNA,1608
LARA,1594
KORNELA,1591
DOBROSŁAWA,1582
DARYA,1567
GABRYELA,1540
ALISA,1534
KSENIIA,1530
WILHELMINA,1507
WALESKA,1477
SOPHIA,1473
LIGIA,1471
MARYIA,1462
ANDREA,1446
HANKA,1443
ANASTASIA,1438
SCHOLASTYKA,1437
IULIIA,1434
MARTINA,1418
LIVIA,1391
JÓZEFINA,1390
VERONICA,1361
ERNESTYNA,1356
SVIATLANA,1354
WIRGINIA,1351
ALA,1349
TETYANA,1344
BOGDANA,1341
GALINA,1334
DARIIA,1329
IRMA,1294
BENIGNA,1292
INGEBORGA,1291
LINDA,1282
MALINA,1269
GLORIA,1259
NIKOL,1254
VIKTORYIA,1246
NICOL,1245
GANNA,1244
HERMINA,1243
KIRA,1238
KSAWERA,1237
ISABELLA,1236
SVETLANA,1234
JENNIFER,1228
WANESA,1223
CELESTYNA,1219
MILANA,1212
PATRICIA,1209
BOHDANA,1200
DŻESIKA,1190
SERAFINA,1187
MIRA,1180
JANA,1178
MAJKA,1176
LIUDMILA,1171
MARITA,1165
SIMONA,1128
ADAMINA,1113
EMANUELA,1107
IWONNA,1106
ZORIANA,1095
ANIKA,1091
HANNAH,1090
SNIZHANA,1084
INA,1078
DAJANA,1077
LUDWINA,1076
ADOLFINA,1074
LUDOMIRA,1072
ELLA,1068
SABRINA,1066
NELIA,1064
VALENTINA,1062
VLADYSLAVA,1048
INGRID,1045
ELZA,1038
GABRIELLA,1034
ALIAKSANDRA,1030
IDALIA,1022
CARMEN,1020
ALOJZA,1006
CAROLINE,1002
BERENIKA,992
SYLWESTRA,989
EUFROZYNA,984
YAROSLAVA,965
ELIZABETH,964
NIKOLETTA,957
ALICE,956
ANZHELIKA,954
RAMONA,953
NELLY,952
NAOMI,947
LILY,941
DALIA,941
YEVA,936
ŻAKLINA,935
EKATERINA,929
LEONA,926
ALICIA,918
MARIE,908
EMILA,898
NADIYA,884
SWIETŁANA,882
LINA,878
EUDOKIA,875
SYBILLA,872
ZLATA,872
BIANCA,868
MICHAELA,862
MARGARITA,861
INKA,860
LYUDMYLA,855
HIERONIMA,851
VIOLETA,844
FRYDERYKA,839
LILLY,838
HERONIMA,838
ZOIA,833
ADOLFA,831
ARINA,830
SŁAWA,828
KAYA,821
ARIANA,818
HANA,811
ZENAIDA,811
MARGARETA,800
GRACJANA,796
WINCENTA,794
BERNARDETA,779
ELA,779
SOLOMIIA,778
VERANIKA,777
ABIGAIL,772
LYUBOV,771
CYRYLA,770
CAROLINA,769
ROXANA,766
ŻANETTA,758
VASYLYNA,756
MARGOT,755
SZARLOTA,750
AUGUSTA,746
VERA,739
LESŁAWA,728
CRISTINA,727
MONICA,726
KARIN,722
BENITA,719
YANINA,719
VARVARA,713
NARCYZA,710
KSENIYA,708
MODESTA,707
MAIA,704
DOBRAWA,702
DOBROCHNA,693
DINA,693
ZOE,693
VALERYIA,687
ALMA,684
MELISA,681
ELISABETH,680
LUCJANNA,672
ADELINA,670
JESIKA,666
JULITTA,665
KASANDRA,663
LEONORA,656
EUNIKA,652
AKSANA,649
MELISSA,648
EVELINA,641
VIKTORIYA,639
ORIANA,639
RUTH,636
CLARA,634
DAGNA,634
MAIIA,632
PALINA,628
ALESIA,627
DANA,627
LARISA,627
JESSIKA,622
LISA,620
FATIMA,620
BIBIANNA,618
HERTA,614
RADOSŁAWA,609
SOFIYA,608
TAISIIA,605
GIULIA,605
NATHALIE,603
SILVIA,602
JASMINA,597
LIZAVETA,595
PARASKIEWIA,593
ROZWITA,592
NELLA,591
SELENA,590
WALTRAUDA,590
RYTA,586
AURORA,584
KRYSTSINA,582
JASMIN,580
LILIYA,578
LEILA,577
ELISA,575
ALBERTYNA,571
CHARLOTTE,567
MARIETA,564
ANICETA,558
MARIAM,556
LILI,555
TAISA,554
NIKOLINA,552
IRMGARD,551
MIŁOSŁAWA,550
SYLVIA,549
WŁODZIMIERA,548
AGNES,548
ROKSOLANA,545
INGRIDA,545
NADZEYA,543
ELINA,543
SAMANTHA,541
AMINA,538
NIKA,537
DIONIZA,533
IZOLDA,532
ILZA,531
LETYCJA,530
MELANIE,530
CATHERINE,527
DOBROMIŁA,522
DELFINA,520
MIRANDA,519
LAILA,518
NATASHA,516
NELL,515
HILDA,513
LIANA,511
ALIONA,510
EDMUNDA,509
LUCIA,508
ELVIRA,508
WERA,506
VIVIEN,505
VITALINA,504
GUSTAWA,503
JULIANA,502
MARTHA,499
WIELISŁAWA,499
WALBURGA,497
NIKOLETA,494
FILIPINA,488
KATHERINE,488
KATHARINA,486
LUBOW,485
FRYDA,484
LIA,484
SUSANNA,482
AURELA,479
TAMAR,478
IZYDORA,478
HALSZKA,467
NOA,467
KAREN,466
SATURNINA,464
LUKRECJA,462
JOLENTA,461
KORDULA,459
NASTASSIA,457
TAMILA,455
YAEL,453
ALOJZJA,452
DZIYANA,446
LAYLA,446
ARIADNA,446
LIZA,439
ANIDA,437
ANGELICA,435
CHRISTINE,431
JACQUELINE,428
LUDGARDA,427
