epoch,train_loss,val_loss,val_accuracy,val_balanced_accuracy,val_precision,val_recall,val_f1,val_auc
1,0.4332,0.3891,0.8318,0.8321,0.8385,0.8196,0.8273,0.9143
2,0.2950,0.3554,0.8571,0.8559,0.8782,0.8239,0.8497,0.9348
3,0.2563,0.3429,0.8653,0.8665,0.8530,0.8847,0.8678,0.9382
4,0.2389,0.3262,0.8736,0.8731,0.8476,0.8983,0.8727,0.9420
5,0.2281,0.3325,0.8749,0.8725,0.8469,0.9096,0.8762,0.9408
